City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,35.71,87,100,6.91,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,60.62,83,20,6.6,few clouds
2,Paracatu,BR,-17.2222,-46.8747,77.4,32,70,4.72,broken clouds
3,Jamestown,US,42.097,-79.2353,82.02,65,0,9.22,clear sky
4,Coquimbo,CL,-29.9533,-71.3436,55.13,76,0,6.91,clear sky
5,Souillac,MU,-20.5167,57.5167,70.18,83,40,6.91,light rain
6,Mar Del Plata,AR,-38.0023,-57.5575,48.87,88,100,4.0,overcast clouds
7,Klaksvik,FO,62.2266,-6.589,52.72,91,73,14.2,broken clouds
8,Busselton,AU,-33.65,115.3333,47.93,82,97,13.53,light rain
9,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,19.57,broken clouds
10,Kavaratti,IN,10.5669,72.642,80.62,83,100,23.29,overcast clouds
11,Bilibino,RU,68.0546,166.4372,59.56,37,42,4.16,scattered clouds
12,Goundam,ML,16.4145,-3.6708,91.71,46,25,17.2,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,56,75,8.05,broken clouds
14,Port Blair,IN,11.6667,92.75,81.12,82,100,19.33,overcast clouds
15,Atuona,PF,-9.8,-139.0333,77.65,73,30,15.03,scattered clouds
16,Ancud,CL,-41.8697,-73.8203,45.23,83,63,5.35,broken clouds
17,Ilulissat,GL,69.2167,-51.1,42.82,93,75,9.22,light intensity shower rain
18,Castro,BR,-24.7911,-50.0119,57.74,97,100,7.67,moderate rain
19,Chokurdakh,RU,70.6333,147.9167,66.47,37,88,4.43,overcast clouds
20,Vestmanna,FO,62.1564,-7.1664,50.92,100,75,8.05,broken clouds
21,Provideniya,RU,64.3833,-173.3,50.36,62,75,15.99,broken clouds
22,Yellowknife,CA,62.456,-114.3525,64.92,63,75,6.91,broken clouds
23,Bambanglipuro,ID,-7.95,110.2833,76.5,82,43,4.43,scattered clouds
24,Chau Doc,VN,10.7,105.1167,75.74,85,100,5.82,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,73.04,79,100,20.8,light rain
26,Isangel,VU,-19.55,169.2667,77.59,75,33,9.86,scattered clouds
27,Vaini,TO,-21.2,-175.2,76.55,83,6,18.41,clear sky
28,Sioux Lookout,CA,50.1001,-91.917,76.19,46,26,8.77,scattered clouds
29,Nishihara,JP,26.1842,127.7558,85.68,84,20,9.22,few clouds
30,Diu,IN,20.7141,70.9822,79.59,92,99,8.68,overcast clouds
31,Tortoli,IT,39.9256,9.6572,76.87,79,1,5.23,clear sky
32,Goderich,CA,43.7501,-81.7165,68.92,98,99,20.83,overcast clouds
33,Avarua,CK,-21.2078,-159.775,77.05,65,75,17.27,broken clouds
34,East London,ZA,-33.0153,27.9116,61.7,80,73,3.76,broken clouds
35,Georgetown,MY,5.4112,100.3354,81.9,82,20,0.0,few clouds
36,Baykit,RU,61.67,96.37,58.66,76,100,2.17,overcast clouds
37,Airai,TL,-8.9266,125.4092,67.03,48,57,4.79,broken clouds
38,Bethel,US,41.3712,-73.414,87.78,74,40,9.22,scattered clouds
39,Mahebourg,MU,-20.4081,57.7,70.09,83,40,6.91,scattered clouds
40,Longyearbyen,SJ,78.2186,15.6401,46.24,81,40,12.66,scattered clouds
41,Albany,US,42.6001,-73.9662,84.87,70,44,7.31,scattered clouds
42,Tongren,CN,27.7172,109.1853,82.04,76,52,2.48,broken clouds
43,Barrow,US,71.2906,-156.7887,48.22,61,20,5.75,few clouds
44,Nokaneng,BW,-19.6667,22.2667,62.96,29,1,6.76,clear sky
45,Khatanga,RU,71.9667,102.5,58.82,96,100,10.31,overcast clouds
46,Inhambane,MZ,-23.865,35.3833,68.58,73,0,12.3,clear sky
47,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,6.91,light rain
48,Krasnyy Bogatyr,RU,56.0145,41.1296,61.39,97,90,3.31,overcast clouds
49,Mataura,NZ,-46.1927,168.8643,42.49,62,7,8.08,clear sky
50,Kodiak,US,57.79,-152.4072,56.71,77,100,8.05,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,70.86,86,97,5.84,overcast clouds
52,Caravelas,BR,-17.7125,-39.2481,73.26,74,4,9.31,clear sky
53,Avera,US,33.194,-82.5271,83.71,60,93,5.82,overcast clouds
54,Vila Velha,BR,-20.3297,-40.2925,75.15,85,20,3.44,few clouds
55,Hobart,AU,-42.8794,147.3294,51.26,72,20,9.22,few clouds
56,Bluff,NZ,-46.6,168.3333,43.74,61,3,17.25,clear sky
57,Atlantic City,US,39.3643,-74.4229,85.17,75,0,11.5,clear sky
58,Bridlington,GB,54.0831,-0.1919,60.89,84,4,5.5,clear sky
59,Quijingue,BR,-10.7525,-39.2092,67.84,66,4,8.52,clear sky
60,Alamor,EC,-4.0181,-80.0197,62.19,85,86,1.61,overcast clouds
61,Coihaique,CL,-45.5752,-72.0662,39.81,70,75,0.0,broken clouds
62,Pitimbu,BR,-7.4706,-34.8086,73.99,79,36,12.75,scattered clouds
63,Savinka,RU,50.0785,47.0994,73.18,44,13,9.17,few clouds
64,Puerto Escondido,MX,15.85,-97.0667,86.83,58,75,2.3,broken clouds
65,Kapaa,US,22.0752,-159.319,84.18,68,40,13.8,scattered clouds
66,Laguna,US,38.421,-121.4238,94.95,29,0,11.5,clear sky
67,Lebu,CL,-37.6167,-73.65,46.45,88,7,10.36,clear sky
68,Esperance,AU,-33.8667,121.9,53.74,78,100,14.74,overcast clouds
69,Ludvika,SE,60.1496,15.1878,50.34,94,7,2.06,clear sky
70,Flin Flon,CA,54.7682,-101.865,72.81,52,47,15.95,scattered clouds
71,Aksu,CN,41.1231,80.2644,73.89,53,7,1.99,clear sky
72,Padang,ID,-0.9492,100.3543,73.45,83,25,2.89,scattered clouds
73,Caxito,AO,-8.5785,13.6643,65.19,96,19,1.28,few clouds
74,Farmington,US,36.7281,-108.2187,88.48,29,75,4.61,broken clouds
75,Pennathur,IN,12.25,79.2333,77.86,69,100,7.45,overcast clouds
76,Hermanus,ZA,-34.4187,19.2345,53.8,83,98,3.04,overcast clouds
77,Dubai,AE,25.2582,55.3047,93.36,62,56,5.57,broken clouds
78,Dunedin,NZ,-45.8742,170.5036,43.81,63,92,4.0,overcast clouds
79,Bredasdorp,ZA,-34.5322,20.0403,51.64,96,94,3.51,overcast clouds
80,Tarbert,GB,55.8628,-5.4162,55.51,88,93,3.91,overcast clouds
81,Saskylakh,RU,71.9167,114.0833,58.84,75,78,10.69,broken clouds
82,Yar-Sale,RU,66.8333,70.8333,55.42,79,53,12.5,broken clouds
83,Bukama,CD,-9.2,25.85,69.12,35,21,2.59,few clouds
84,Constitucion,CL,-35.3333,-72.4167,49.28,87,0,7.16,clear sky
85,Champerico,GT,14.3,-91.9167,82.33,77,100,5.39,overcast clouds
86,Torbay,CA,47.6666,-52.7314,61.57,87,59,5.99,broken clouds
87,Lompoc,US,34.6391,-120.4579,82.69,67,0,24.0,clear sky
88,Bud,US,39.447,-86.1758,87.75,74,18,8.61,few clouds
89,Newport,GB,51.5877,-2.9984,68.11,72,1,11.23,clear sky
90,Fare,PF,-16.7,-151.0167,76.55,58,60,16.49,broken clouds
91,Pisco,PE,-13.7,-76.2167,62.02,77,0,13.8,clear sky
92,Dikson,RU,73.5069,80.5464,42.12,97,92,18.05,overcast clouds
93,Sitka,US,57.0531,-135.33,62.49,63,0,6.91,clear sky
94,Ca Mau,VN,9.1769,105.15,77.43,88,100,5.3,overcast clouds
95,Lata,PT,40.1629,-8.3327,60.78,91,0,2.68,clear sky
96,Paamiut,GL,61.994,-49.6678,41.86,87,97,20.09,overcast clouds
97,Kaitangata,NZ,-46.2817,169.8464,44.28,58,46,12.19,scattered clouds
98,Sabana De Torres,CO,7.3915,-73.4957,81.21,79,26,2.53,scattered clouds
99,Severo-Kurilsk,RU,50.6789,156.125,56.28,95,100,18.61,overcast clouds
100,Selma,US,36.5708,-119.6121,100.35,26,0,8.05,clear sky
101,Tiksi,RU,71.6872,128.8694,50.05,88,100,7.07,overcast clouds
102,New Norfolk,AU,-42.7826,147.0587,50.92,57,7,2.24,clear sky
103,Mahibadhoo,MV,3.7833,72.9667,81.27,79,100,15.55,light rain
104,Kanniyakumari,IN,8.0833,77.5667,78.76,79,100,18.54,overcast clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,69.55,84,56,4.0,broken clouds
106,Victoria,HK,22.2855,114.1577,82.45,84,99,11.01,light rain
107,El Alto,PE,-4.2714,-81.2147,62.26,81,17,12.59,few clouds
108,Moose Factory,CA,51.2585,-80.6094,57.11,63,68,4.09,broken clouds
109,Nanortalik,GL,60.1432,-45.2371,43.66,88,100,7.34,overcast clouds
110,Calvinia,ZA,-31.4707,19.776,52.66,51,96,7.05,overcast clouds
111,Alice Springs,AU,-23.7,133.8833,56.21,30,3,1.01,clear sky
112,Abu Kamal,SY,34.4506,40.9171,86.22,27,0,10.83,clear sky
113,Villareal,PH,11.5659,124.9281,79.92,83,87,0.74,overcast clouds
114,Evensk,RU,61.95,159.2333,61.61,60,7,5.14,clear sky
115,Tuktoyaktuk,CA,69.4541,-133.0374,57.25,64,87,9.8,overcast clouds
116,Jieshou,CN,33.2634,115.3611,85.19,80,100,1.97,light rain
117,Sumbawanga,TZ,-7.9667,31.6167,53.08,54,1,3.44,clear sky
118,Riyadh,SA,24.6877,46.7219,95.14,23,23,7.36,few clouds
119,Jiazi,CN,22.8779,116.067,81.57,83,99,20.02,overcast clouds
120,Son La,VN,21.3167,103.9,70.75,97,99,0.07,overcast clouds
121,Chadiza,ZM,-14.0678,32.4392,57.47,52,1,3.27,clear sky
122,Tasiilaq,GL,65.6145,-37.6368,39.36,97,99,3.58,overcast clouds
123,Sao Filipe,CV,14.8961,-24.4956,78.89,83,96,6.93,overcast clouds
124,Matay,EG,28.419,30.7792,83.64,43,0,9.42,clear sky
125,Capitao Poco,BR,-1.7464,-47.0594,73.72,93,72,5.53,broken clouds
126,Moscow,RU,55.7522,37.6156,63.14,79,99,5.61,overcast clouds
127,Along,IN,28.1667,94.7667,77.36,95,81,1.45,moderate rain
128,Japura,ID,-0.3167,102.35,76.24,87,84,1.72,broken clouds
129,Cherskiy,RU,68.75,161.3,64.42,29,97,15.23,overcast clouds
130,Katsuura,JP,35.1333,140.3,84.09,77,91,21.56,overcast clouds
131,Palmer,US,42.1584,-72.3287,83.91,75,74,5.01,broken clouds
132,Innisfail,AU,-17.5333,146.0333,68.13,80,96,9.15,overcast clouds
133,Clyde River,CA,70.4692,-68.5914,42.35,78,100,13.0,overcast clouds
134,Namatanai,PG,-3.6667,152.4333,83.89,67,31,3.87,scattered clouds
135,Poum,NC,-20.2333,164.0167,71.4,67,83,19.84,broken clouds
136,Pevek,RU,69.7008,170.3133,40.26,74,41,14.2,scattered clouds
137,Requena,ES,39.4883,-1.1004,71.8,80,0,5.41,clear sky
138,Qaanaaq,GL,77.484,-69.3632,37.0,55,22,4.7,few clouds
139,Luganville,VU,-15.5333,167.1667,83.52,68,10,5.88,clear sky
140,Mossendjo,CG,-2.9506,12.7261,66.16,90,90,3.78,overcast clouds
141,Cabo San Lucas,MX,22.8909,-109.9124,89.62,66,40,8.05,scattered clouds
142,Donauworth,DE,48.7,10.8,58.75,70,5,4.14,clear sky
143,Zambezi,ZM,-13.5432,23.1047,55.36,34,0,5.35,clear sky
144,Aklavik,CA,68.2191,-135.0107,67.46,37,87,14.38,overcast clouds
145,Alofi,NU,-19.0595,-169.9187,76.57,76,3,21.14,clear sky
146,Cape Town,ZA,-33.9258,18.4232,60.39,82,64,5.01,broken clouds
147,Grindavik,IS,63.8424,-22.4338,52.27,100,100,19.57,light intensity drizzle
148,Nikolskoye,RU,59.7035,30.7861,55.87,96,69,1.66,broken clouds
149,Virginia Beach,US,36.8529,-75.978,90.01,66,47,1.99,scattered clouds
150,Upernavik,GL,72.7868,-56.1549,42.73,80,100,1.68,overcast clouds
151,Pacific Grove,US,36.6177,-121.9166,85.55,71,0,13.8,clear sky
152,Catalao,BR,-18.1658,-47.9464,70.61,53,87,9.35,overcast clouds
153,Ofaqim,IL,31.3141,34.6203,76.51,67,0,2.77,clear sky
154,Bogorodskoye,RU,56.55,37.8833,55.08,93,98,5.32,overcast clouds
155,Faanui,PF,-16.4833,-151.75,76.86,59,65,16.2,broken clouds
156,Margate,GB,51.3813,1.3862,64.31,87,7,3.0,clear sky
157,Hasaki,JP,35.7333,140.8333,88.29,75,95,21.3,overcast clouds
158,Yerbogachen,RU,61.2767,108.0108,53.38,85,99,2.62,overcast clouds
159,Touros,BR,-5.1989,-35.4608,75.06,83,7,14.65,clear sky
160,Bengkulu,ID,-3.8004,102.2655,75.34,90,48,5.08,scattered clouds
161,Fort Nelson,CA,58.8053,-122.7002,72.18,28,23,9.55,few clouds
162,Port Elizabeth,ZA,-33.918,25.5701,56.32,99,36,3.44,mist
163,Vostok,RU,46.4856,135.8833,65.23,58,5,6.91,clear sky
164,Bridgetown,BB,13.1,-59.6167,81.09,83,75,19.57,broken clouds
165,Bermejo,AR,-32.8833,-68.8,42.71,77,58,6.93,broken clouds
166,Ambilobe,MG,-13.2,49.05,63.37,88,22,3.71,few clouds
167,Gouyave,GD,12.1646,-61.7296,80.74,82,58,16.91,broken clouds
168,Thompson,CA,55.7435,-97.8558,69.96,78,75,3.44,thunderstorm
169,Flinders,AU,-34.5833,150.8552,49.82,89,80,13.4,moderate rain
170,Moa,CU,20.6569,-74.9403,81.36,83,46,15.08,scattered clouds
171,Saint-Philippe,RE,-21.3585,55.7679,64.22,77,38,8.99,scattered clouds
172,Andra,RU,62.5147,65.8878,67.93,63,44,6.55,scattered clouds
173,Fortuna,US,40.5982,-124.1573,75.92,66,0,11.5,clear sky
174,Turka,UA,49.1541,23.0297,59.79,91,99,3.33,light rain
175,Santa Rosa,PH,14.3122,121.1114,83.1,83,99,4.03,overcast clouds
176,Ahipara,NZ,-35.1667,173.1667,59.67,70,13,2.48,few clouds
177,Tarsus,TR,36.9188,34.8784,80.98,75,2,1.66,clear sky
178,Mount Gambier,AU,-37.8333,140.7667,48.52,86,7,4.61,clear sky
179,Butaritari,KI,3.0707,172.7902,81.16,80,70,14.94,broken clouds
180,Lasa,IT,46.6166,10.7002,62.37,83,3,1.81,clear sky
181,Blyth,GB,55.1271,-1.5086,59.47,80,19,7.61,few clouds
182,Geraldton,AU,-28.7667,114.6,54.01,82,75,24.16,broken clouds
183,Staritsa,RU,56.5075,34.9354,52.52,93,86,3.04,overcast clouds
184,Port Augusta,AU,-32.5,137.7667,56.37,42,34,4.47,scattered clouds
185,Arlit,NE,18.7369,7.3853,89.35,38,100,17.85,overcast clouds
186,Lumeje,AO,-11.55,20.7833,60.53,34,1,4.54,clear sky
187,Aras,ES,42.5617,-2.356,72.01,60,59,17.27,light rain
188,Mount Isa,AU,-20.7333,139.5,65.97,24,0,11.5,clear sky
189,Galesong,ID,-5.3166,119.3661,75.22,74,92,5.12,overcast clouds
190,Charleston,US,32.7766,-79.9309,82.56,80,0,8.05,clear sky
191,Kalmunai,LK,7.4167,81.8167,77.76,66,95,5.17,overcast clouds
192,Talnakh,RU,69.4865,88.3972,63.21,91,50,5.32,scattered clouds
193,Aqtobe,KZ,50.2797,57.2072,66.29,72,75,6.71,broken clouds
194,Rawson,AR,-43.3002,-65.1023,44.85,75,93,18.66,overcast clouds
195,Walvis Bay,NA,-22.9575,14.5053,53.1,81,12,6.49,few clouds
196,Mareeba,AU,-17.0,145.4333,71.44,71,91,6.73,overcast clouds
197,Vardo,NO,70.3705,31.1107,48.18,81,100,12.66,overcast clouds
198,Guerrero Negro,MX,27.9769,-114.0611,81.93,62,14,14.97,few clouds
199,Dubrovka,RU,53.6907,33.5071,61.86,77,100,5.44,overcast clouds
200,Peniche,PT,39.3558,-9.3811,67.1,89,5,5.95,clear sky
201,Mozarlandia,BR,-14.7447,-50.5706,83.23,32,5,6.42,clear sky
202,Vanavara,RU,60.34,102.2797,56.19,82,47,3.6,scattered clouds
203,Bad Windsheim,DE,49.5,10.4167,64.33,58,3,6.04,clear sky
204,Yeppoon,AU,-23.1333,150.7333,62.38,50,0,8.1,clear sky
205,Kloulklubed,PW,7.0419,134.2556,82.71,76,100,10.07,overcast clouds
206,Hilo,US,19.7297,-155.09,89.28,83,75,5.75,broken clouds
207,Bonthe,SL,7.5264,-12.505,76.37,83,98,9.04,overcast clouds
208,Gat,IL,31.61,34.7642,77.68,64,0,2.57,clear sky
209,Mardin,TR,37.3131,40.7436,74.66,49,0,2.37,clear sky
210,Nueva Germania,PY,-23.9,-56.5667,60.22,97,99,5.32,overcast clouds
211,Cambui,BR,-22.6122,-46.0575,61.47,89,100,3.06,overcast clouds
212,Viedma,AR,-40.8135,-62.9967,45.05,71,100,8.79,overcast clouds
213,Svetlogorsk,BY,52.6333,29.7333,57.38,73,97,4.12,overcast clouds
214,Asau,RO,46.4333,26.4,67.12,88,5,3.6,light rain
215,Shima,CN,24.4478,117.8111,82.33,76,31,3.47,scattered clouds
216,Lorengau,PG,-2.0226,147.2712,82.87,77,77,10.33,broken clouds
217,Cockburn Town,TC,21.4612,-71.1419,82.36,82,47,20.33,scattered clouds
218,Carnarvon,AU,-24.8667,113.6333,64.38,52,47,17.45,scattered clouds
219,Hobyo,SO,5.3505,48.5268,75.67,82,40,22.64,scattered clouds
220,Pangnirtung,CA,66.1451,-65.7125,47.34,74,59,2.3,broken clouds
221,Hami,CN,42.8,93.45,86.09,24,0,2.06,clear sky
222,Naifaru,MV,5.4444,73.3657,80.85,81,100,16.04,overcast clouds
223,Dingle,PH,10.9995,122.6711,79.95,83,98,4.32,overcast clouds
224,Sambava,MG,-14.2667,50.1667,67.32,86,58,12.03,broken clouds
225,Matagami,CA,49.7502,-77.6328,49.78,96,100,4.61,overcast clouds
226,Boshnyakovo,RU,49.6333,142.1667,64.56,78,71,10.67,broken clouds
227,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,24,15.1,light rain
228,Dedza,MW,-14.3779,34.3332,54.18,54,0,1.03,clear sky
